code,area,achieved_standad_perc
E09000001,City of London,60
E09000002,Barking and Dagenham,60
E09000003,Barnet,73.1
E09000004,Bexley,66.5
E09000005,Brent,63.8
E09000006,Bromley,72.2
E09000007,Camden,63.1
E09000008,Croydon,60.6
E09000009,Ealing,65
E09000010,Enfield,62.9
E09000011,Greenwich,60.8
E09000012,Hackney,69.7
E09000013,Hammersmith and Fulham,70.1
E09000014,Haringey,63.7
E09000015,Harrow,67.7
E09000016,Havering,64
E09000017,Hillingdon,65.3
E09000018,Hounslow,65.7
E09000019,Islington,64.2
E09000020,Kensington and Chelsea,75.5
E09000021,Kingston upon Thames,78.2
E09000022,Lambeth,62.4
E09000023,Lewisham,56.2
E09000024,Merton,69.5
E09000025,Newham,63.1
E09000026,Redbridge,71.8
E09000027,Richmond upon Thames,71.3
E09000028,Southwark,69.3
E09000029,Sutton,76.8
E09000030,Tower Hamlets,63.3
E09000031,Waltham Forest,63.6
E09000032,Wandsworth,69.6
E09000033,Westminster,71.6
