LondonBorough,MedianMonthlyRent,MedianHousePrice,HousepriceToRentratio,Grossrentalyield
Barking and Dagenham,950.00,215000.00,226.00,0.05
Barnet,1300.00,400000.00,308.00,0.04
Bexley,900.00,250000.00,278.00,0.04
Brent,1350.00,377000.00,285.00,0.04
Bromley,1100.00,335000.00,305.00,0.04
Camden,1840.00,665000.00,366.00,0.03
City of London,1930.00,724000.00,373.00,0.03
Croydon,1000.00,265000.00,265.00,0.05
Ealing,1300.00,385000.00,300.00,0.04
Enfield,1180.00,282000.00,243.00,0.05
Greenwich,1200.00,315000.00,265.00,0.05
Hackney,1520.00,430000.00,283.00,0.04
Hammersmith and Fulham,1580.00,642000.00,420.00,0.03
Haringey,1300.00,405000.00,312.00,0.04
Harrow,1250.00,369000.00,296.00,0.04
Havering,930.00,250000.00,270.00,0.04
Hillingdon,1140.00,302000.00,269.00,0.05
Hounslow,1250.00,317000.00,256.00,0.05
Islington,1730.00,529000.00,308.00,0.04
Kensington and Chelsea,2280.00,1198000.00,525.00,0.02
Kingston upon Thames,1250.00,385000.00,308.00,0.04
Lambeth,1430.00,420000.00,294.00,0.04
Lewisham,1100.00,315000.00,286.00,0.04
Merton,1330.00,385000.00,291.00,0.04
Newham,1160.00,250000.00,216.00,0.06
Redbridge,1050.00,300000.00,290.00,0.04
Richmond upon Thames,1560.00,536000.00,344.00,0.04
Southwark,1430.00,410000.00,294.00,0.04
Sutton,1000.00,285000.00,286.00,0.04
Tower Hamlets,1500.00,380000.00,253.00,0.05
Waltham Forest,1101.00,320000.00,292.00,0.04
Wandsworth,1582.00,533000.00,338.00,0.04
Westminster,2383.00,857000.00,367.00,0.03
London,1300.00,364000.00,280.00,0.04
England,595.00,195000.00,328.00,0.04
